idx,img_path,GT,pred,ok,len_err,len_gt,len_pred
0,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0322365900383-99_76-330&453_610&587-603&595_331&539_328&451_600&507-0_0_8_17_29_31_24-100-69_emb_使693015.jpg,使693015,使693015,1,0,7,7
1,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0216570881226-90_86-252&486_535&574-532&563_261&577_259&485_530&471-0_0_33_16_29_31_30-128-60_emb_使004148.jpg,使004148,使004148,1,0,7,7
2,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0086709770115-90_90-255&485_421&546-426&546_254&550_252&491_424&487-0_0_10_24_30_32_22-121-6_emb_使575733.jpg,使575733,使575733,1,0,7,7
3,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0144815613027-90_85-248&660_470&748-480&744_247&741_239&660_472&663-0_0_4_33_33_29_31-92-50_emb_使472039.jpg,使472039,使472039,1,0,7,7
4,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0180747126436-92_88-117&419_362&505-364&511_116&491_122&408_370&428-0_0_22_27_7_25_32-106-41_emb_使382704.jpg,使382704,使382704,1,0,7,7
5,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0347306034483-90_89-209&484_507&588-509&572_221&594_224&494_512&472-0_0_18_13_26_27_26-85-84_emb_使368489.jpg,使368489,使368489,1,0,7,7
6,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00617816091954-90_91-347&362_503&412-504&416_336&414_339&355_507&357-0_0_21_28_26_28_33-71-7_emb_使598827.jpg,使598827,使598827,1,0,7,7
7,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0242456896552-90_91-239&555_511&648-516&639_241&650_242&554_517&543-0_0_1_33_4_29_33-136-60_emb_使836424.jpg,使836424,使836424,1,0,7,7
8,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0141271551724-89_80-243&375_463&453-477&451_257&456_247&382_467&377-0_0_11_31_32_33_19-167-55_emb_使865694.jpg,使865694,使865694,1,0,7,7
9,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0152837643678-93_80-255&360_466&452-480&451_266&428_244&347_458&370-0_0_17_11_26_29_25-108-18_emb_使566728.jpg,使566728,使56728,0,1,7,6
10,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/016091954023-90_90-180&485_412&565-423&575_174&569_176&479_425&485-0_0_23_32_1_26_30-99-17_emb_使897224.jpg,使897224,使897224,1,0,7,7
11,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00638170498084-91_88-223&509_372&561-373&564_224&558_227&509_376&515-0_0_16_31_4_27_27-87-45_emb_使055104.jpg,使055104,使055104,1,0,7,7
12,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0451005747126-82_99-201&524_506&652-497&604_204&657_227&561_520&508-0_0_6_30_27_32_9-122-118_emb_使786778.jpg,使786778,使786778,1,0,7,7
13,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0218510536398-92_83-199&467_472&561-497&572_227&548_178&454_448&478-0_0_22_24_4_25_30-136-10_emb_使433990.jpg,使433990,使433990,1,0,7,7
14,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/021724137931-94_84-241&459_483&556-490&559_235&534_232&451_487&476-0_0_18_2_25_33_25-127-64_emb_使091446.jpg,使091446,使091446,1,0,7,7
15,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/032650862069-89_91-236&356_517&471-535&449_235&471_241&364_541&342-0_0_15_9_24_33_26-156-72_emb_使223840.jpg,使223840,使223840,1,0,7,7
16,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0323754789272-95_79-174&478_469&602-486&609_172&566_162&467_476&510-0_0_3_32_29_26_11-149-41_emb_使519357.jpg,使519357,使519357,1,0,7,7
17,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0252777777778-84_99-263&532_476&636-472&610_265&633_275&545_482&522-0_0_0_31_30_33_29-132-63_emb_使668581.jpg,使668581,使68581,0,1,7,6
18,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0142899904214-90_88-259&473_481&551-481&548_264&548_263&482_480&482-0_0_13_19_33_24_24-123-60_emb_使708717.jpg,使708717,使708717,1,0,7,7
19,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0274305555555-91_83-204&484_513&574-526&571_208&573_205&480_523&478-0_0_7_27_22_27_27-106-38_emb_使815658.jpg,使815658,使815658,1,0,7,7
20,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0197677203065-90_94-183&442_464&523-474&516_187&534_192&445_479&427-0_0_11_17_29_32_33-149-23_emb_使317533.jpg,使317533,使317533,1,0,7,7
21,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0254430076628-75_107-322&535_521&661-518&618_345&671_346&565_519&512-0_0_12_26_24_24_29-135-55_emb_使174319.jpg,使174319,使7419,0,1,7,5
22,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0148180076628-90_79-102&557_330&629-345&637_119&628_87&549_313&558-10_4_32_33_10_5_29-164-34_emb_使702843.jpg,使702843,使702843,1,0,7,7
23,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0229885057471-90_91-179&494_477&587-455&576_171&598_197&508_481&486-0_0_10_31_32_26_32-23-6_emb_使560791.jpg,使560791,使560791,1,0,7,7
24,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0123970306514-90_91-312&454_487&531-493&524_317&528_322&458_498&454-0_0_21_1_30_32_28-146-11_emb_使027550.jpg,使027550,使027550,1,0,7,7
25,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0221336206897-89_88-238&478_490&575-505&567_233&588_240&487_512&466-0_0_16_23_24_25_29-156-35_emb_使344936.jpg,使344936,使344936,1,0,7,7
26,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00621048850574-90_87-251&495_399&549-395&544_256&540_254&492_393&496-0_0_22_28_25_29_23-80-8_emb_使050172.jpg,使050172,使050172,1,0,7,7
27,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00963840996169-90_93-272&490_437&558-435&555_273&546_277&491_439&500-0_0_3_32_24_24_19-94-13_emb_使851158.jpg,使851158,使851158,1,0,7,7
28,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0175167624521-95_79-301&485_511&574-529&583_301&553_280&467_508&497-0_0_7_24_33_27_33-88-12_emb_使734004.jpg,使734004,使73406,0,1,7,6
29,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0186206896552-104_69-205&441_382&560-383&561_209&502_205&432_379&491-0_0_3_33_25_32_3-128-23_emb_使492379.jpg,使492379,使492379,1,0,7,7
30,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0615780651341-95_83-108&598_509&746-510&751_118&706_117&586_509&631-0_0_33_15_25_32_30-120-104_emb_使555877.jpg,使555877,使555877,1,0,7,7
31,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0208273467433-90_87-261&548_523&638-533&643_264&643_272&546_541&546-0_0_33_33_33_30_33-180-25_emb_使498290.jpg,使498290,使498290,1,0,7,7
32,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/019845545977-93_88-148&455_363&553-369&557_152&532_150&439_367&464-0_0_23_3_29_25_32-129-38_emb_使539369.jpg,使539369,使539369,1,0,7,7
33,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/026561302682-97_82-224&453_482&563-490&567_234&527_228&447_484&487-0_0_7_33_29_26_12-103-19_emb_使188196.jpg,使188196,使188196,1,0,7,7
34,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/0267672413793-92_76-223&462_517&578-534&577_236&545_213&455_511&487-0_0_19_30_31_31_2-91-120_emb_使621601.jpg,使621601,使621601,1,0,7,7
35,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00903496168583-89_87-186&337_355&397-355&393_189&394_182&335_348&334-10_11_8_30_30_27_20-141-27_emb_使233794.jpg,使233794,使233794,1,0,7,7
36,datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/val/00725933908046-90_81-153&338_313&407-305&409_158&403_145&343_292&349-0_0_10_24_33_25_8-79-13_emb_使681747.jpg,使681747,使681747,1,0,7,7
