Embassy errors (29):
 idx       GT       pred len_err
   9  使566728     使56728       Y
  17  使668581     使68581       Y
  21  使174319      使7419       Y
  28  使734004     使73406       Y
  46  使162337     使16237       Y
  84  使334857     使34857       Y
  87  使474732    使674732       N
 113  使677260     使67260       Y
 118  使183260     使18326       Y
 123  使662417     使62417       Y
 128  使761778     使76178       Y
 147  使911779      使9179       Y
 164  使219249      使2925       Y
 166  使970333     使97033       Y
 200  使651771     使65171       Y
 224  使076672     使07667       Y
 225  使236629      使2629       Y
 231  使440706     使40706       Y
 236  使540805   使5400805       Y
 250  使643186      使6316       Y
 252  使307248   使3072468       Y
 264  使347151   使3647151       Y
 268  使095449     使09549       Y
 269  使523689       使539       Y
 278  使876397     使76397       Y
 280  使368003     使36863       Y
 289  使398866     使39866       Y
 290  使483756     使48375       Y
 294  使296497     使29649       Y
