GT_province,pred_province,count
粤,青,3
吉,闽,2
湘,浙,2
鄂,琼,2
辽,甘,2
新,赣,2
苏,新,2
冀,蒙,2
皖,陕,2
浙,渝,2
桂,甘,2
豫,陕,2
藏,陕,1
宁,津,1
琼,津,1
粤,沪,1
豫,琼,1
黑,川,1
津,贵,1
渝,京,1
豫,津,1
豫,蒙,1
闽,吉,1
闽,皖,1
粤,蒙,1
桂,Y,1
赣,苏,1
贵,新,1
晋,桂,1
黑,晋,1
青,陕,1
蒙,贵,1
浙,湘,1
鲁,警,1
粤,甘,1
青,鲁,1
鲁,陕,1
沪,辽,1
陕,琼,1
浙,蒙,1
贵,琼,1
津,渝,1
黑,浙,1
粤,鄂,1
苏,吉,1
蒙,豫,1
渝,川,1
琼,渝,1
沪,湘,1
闽,贵,1
湘,豫,1
渝,津,1
苏,渝,1
贵,渝,1
沪,浙,1
闽,藏,1
琼,赣,1
苏,甘,1
赣,藏,1
云,青,1
湘,渝,1
湘,津,1
赣,蒙,1
甘,桂,1
琼,藏,1
新,陕,1
晋,琼,1
琼,陕,1
宁,吉,1
鲁,9,1
渝,浙,1
津,赣,1
皖,赣,1
津,宁,1
陕,贵,1
黑,藏,1
苏,鲁,1
鄂,苏,1
蒙,津,1
渝,F,1
冀,粤,1
青,吉,1
甘,黑,1
陕,赣,1
浙,闽,1
京,D,1
藏,湘,1
赣,闽,1
青,闽,1
辽,黑,1
藏,晋,1
渝,粤,1
皖,鄂,1
新,甘,1
豫,新,1
赣,黑,1
浙,黑,1
