img_path,text,family,source,split,preprocess_group,has_quad,can_parse_ccpd_geom,can_perspective,quad_source,bbox_source,quad_1x,quad_1y,quad_2x,quad_2y,quad_3x,quad_3y,quad_4x,quad_4y,ocr_crop_mode,ocr_resize_mode,ocr_resize_kernel,ocr_preproc,ocr_channel_order,ocr_quad_pad_ratio
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0198659003831-89_88-206&490_480&560-474&567_222&566_214&485_466&486-0_0_0_14_26_31_30-161-83_emb_使966290.jpg,使966290,embassy,special_ccpd2019_base_cvreplace_v1__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,213.6,484.9,464.4,486.4,474.1,565.7,225.1,565.3,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0197449712643-90_86-202&562_477&651-472&661_188&652_192&557_476&566-0_0_32_11_24_30_30-149-62_emb_使648313.jpg,使648313,embassy,special_ccpd2019_base_cvreplace_v1__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,188.2,558.4,473.9,566.4,471.8,656.0,188.3,649.8,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0237068965517-91_87-207&470_515&557-515&559_213&544_208&466_510&481-0_0_11_16_25_26_33-69-23_emb_使874239.jpg,使874239,embassy,special_ccpd2019_base_cvreplace_v1__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,206.5,463.6,509.9,478.6,512.5,559.9,213.4,546.1,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0118534482759-87_88-300&328_500&391-491&395_307&401_299&335_483&329-0_0_15_7_27_29_27-82-14_emb_使880076.jpg,使880076,embassy,special_ccpd2019_base_cvreplace_v1__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,296.5,333.0,482.7,329.8,492.9,396.4,306.2,400.7,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0243438697318-100_72-247&465_488&563-493&582_243&522_243&449_493&509-0_0_3_12_26_25_25-62-7_emb_使208163.jpg,使208163,embassy,special_ccpd2019_base_cvreplace_v1__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,242.8,445.0,487.4,505.5,493.4,586.5,249.9,525.9,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0152011494253-89_94-275&503_464&585-467&572_283&581_287&504_471&495-0_0_23_26_31_31_29-152-30_emb_使303564.jpg,使303564,embassy,special_ccpd2019_base_cvreplace_v1__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,287.9,505.2,469.2,495.4,462.9,571.3,280.0,581.1,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0101855842912-90_87-258&468_462&541-467&541_259&537_250&469_458&473-0_0_9_29_30_30_2-144-49_emb_使116325.jpg,使116325,embassy,special_ccpd2019_base_cvreplace_v1__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,250.2,468.7,457.7,472.1,467.3,539.9,261.0,535.8,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0200191570881-99_78-337&461_544&566-535&568_341&524_345&453_539&497-0_12_10_3_27_30_32-127-47_emb_使185390.jpg,使185390,embassy,special_ccpd2019_base_cvreplace_v1__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,341.5,453.2,534.4,496.5,533.6,565.8,340.1,524.2,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0218199233717-90_87-172&498_500&595-512&586_170&595_169&498_511&489-0_0_10_26_6_33_33-111-27_emb_使618441.jpg,使618441,embassy,special_ccpd2019_base_cvreplace_v1__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,166.5,494.8,509.2,488.4,510.1,589.3,171.6,594.8,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0193330938697-89_89-207&429_455&507-459&496_220&505_206&432_445&423-0_0_15_5_24_29_31-51-18_emb_使135650.jpg,使135650,embassy,special_ccpd2019_base_cvreplace_v1__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,204.1,432.0,445.4,422.4,459.7,496.1,220.2,506.5,obb_warp,letterbox,nn,none,bgr,0.0
