img_path,text,family,source,split,preprocess_group,has_quad,can_parse_ccpd_geom,can_perspective,quad_source,bbox_source,quad_1x,quad_1y,quad_2x,quad_2y,quad_3x,quad_3y,quad_4x,quad_4y,ocr_crop_mode,ocr_resize_mode,ocr_resize_kernel,ocr_preproc,ocr_channel_order,ocr_quad_pad_ratio
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0346168582376-96_74-242&515_527&636-540&651_256&608_242&518_526&561-0_0_6_32_25_24_25-125-110_pol_苏GBUBW警.jpg,苏GBUBW警,police,special_ccpd2019_base_cvreplace_v1__police,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,240.7,516.2,523.5,560.9,537.9,650.8,257.1,608.2,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0181034482759-81_99-203&306_399&396-395&367_216&395_214&335_393&307-0_0_27_33_29_25_28-56-43_pol_湘BUAY3警.jpg,湘BUAY3警,police,special_ccpd2019_base_cvreplace_v1__police,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,213.1,332.8,391.1,306.0,393.7,367.8,215.6,394.7,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0205340038314-93_88-121&461_396&545-409&551_128&526_131&447_412&472-0_0_32_28_7_33_33-110-25_pol_琼DDKA6警.jpg,琼DDKA6警,police,special_ccpd2019_base_cvreplace_v1__police,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,128.8,446.0,410.7,470.4,408.6,553.3,129.6,529.4,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0144181034483-90_86-245&542_492&631-494&625_250&622_238&547_482&550-0_0_29_4_31_27_27-84-33_pol_黑M3MQS警.jpg,黑M3MQS警,police,special_ccpd2019_base_cvreplace_v1__police,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,237.3,548.2,481.7,550.3,491.6,623.9,249.5,621.4,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0100239463602-90_91-287&317_462&379-477&372_288&386_285&319_474&305-0_0_7_27_31_29_22-122-21_pol_宁Y7E51警.jpg,宁Y7E51警,police,special_ccpd2019_base_cvreplace_v1__police,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,284.0,318.6,472.9,302.5,474.4,372.4,285.0,387.5,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0769276819924-90_85-125&468_656&610-640&624_125&623_137&462_652&463-0_0_13_19_26_24_25-143-378_pol_赣VNWE7警.jpg,赣VNWE7警,police,special_ccpd2019_base_cvreplace_v1__police,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,131.3,463.7,652.2,467.6,638.7,617.6,124.7,617.9,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0143318965517-92_77-213&472_410&556-417&563_211&538_199&461_405&486-0_0_22_24_29_26_22-84-18_pol_桂S3M0F警.jpg,桂S3M0F警,police,special_ccpd2019_base_cvreplace_v1__police,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,198.1,461.4,403.7,486.9,414.9,561.9,208.9,538.2,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0236458333333-93_76-116&550_353&654-365&661_128&623_105&537_342&575-0_0_23_27_8_31_24-86-55_pol_津LR7FX警.jpg,津LR7FX警,police,special_ccpd2019_base_cvreplace_v1__police,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,107.0,538.5,343.9,573.4,362.4,660.2,125.3,624.6,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0207016283524-89_82-267&465_527&563-537&554_289&549_265&469_513&474-0_0_15_31_24_32_7-68-71_pol_鲁XXTGH警.jpg,鲁XXTGH警,police,special_ccpd2019_base_cvreplace_v1__police,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,262.9,468.0,512.7,473.8,535.0,554.6,286.8,549.9,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0198635057471-90_90-212&589_449&684-451&684_215&675_222&582_458&591-0_0_2_31_10_32_24-58-10_pol_藏NPNMZ警.jpg,藏NPNMZ警,police,special_ccpd2019_base_cvreplace_v1__police,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,221.3,582.4,456.6,590.0,450.3,683.9,213.6,677.4,obb_warp,letterbox,nn,none,bgr,0.0
