img_path,text,family,source,split,preprocess_group,has_quad,can_parse_ccpd_geom,can_perspective,quad_source,bbox_source,quad_1x,quad_1y,quad_2x,quad_2y,quad_3x,quad_3y,quad_4x,quad_4y,ocr_crop_mode,ocr_resize_mode,ocr_resize_kernel,ocr_preproc,ocr_channel_order,ocr_quad_pad_ratio
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0147880747126-94_78-266&337_450&420-457&419_280&397_266&328_443&350-11_2_25_27_33_13_25-139-24_ys_晋M15N28.jpg,晋M15N28,yellow_single,special_ccpd2019_base_cvreplace_v1__yellow_single,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,263.1,328.5,441.4,352.3,455.7,419.9,276.5,396.5,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0360344827586-90_89-239&438_563&558-560&562_245&561_256&443_571&444-0_0_18_18_29_33_33-175-68_ys_冀Q837K8.jpg,冀Q837K8,yellow_single,special_ccpd2019_base_cvreplace_v1__yellow_single,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,253.2,441.5,567.7,444.4,560.5,561.0,245.9,561.4,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0454980842912-91_82-138&463_545&583-575&588_153&582_134&463_556&469-0_0_30_27_33_18_26-155-72_ys_蒙DNWVN6.jpg,蒙DNWVN6,yellow_single,special_ccpd2019_base_cvreplace_v1__yellow_single,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,133.4,461.9,554.8,467.5,573.6,586.8,158.7,583.8,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/00989942528736-91_88-374&479_543&538-544&530_367&539_366&476_543&467-0_0_25_25_12_33_33-108-14_ys_云N37CSR.jpg,云N37CSR,yellow_single,special_ccpd2019_base_cvreplace_v1__yellow_single,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,367.3,475.5,542.2,466.3,541.8,528.9,366.4,538.0,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0197437739464-95_84-199&301_408&426-418&423_198&391_191&307_411&339-0_12_25_5_32_29_32-95-24_ys_晋YFU1VV.jpg,晋YFU1VV,yellow_single,special_ccpd2019_base_cvreplace_v1__yellow_single,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,187.2,305.4,407.5,338.2,415.0,422.7,193.8,391.4,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0359889846743-99_68-166&476_436&607-438&608_173&556_163&468_428&520-0_0_24_18_27_27_27-77-15_ys_粤N5ZYS6.jpg,粤N5ZYS6,yellow_single,special_ccpd2019_base_cvreplace_v1__yellow_single,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,161.0,469.2,425.4,518.9,436.9,607.8,173.5,557.5,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0488840996169-84_89-240&339_590&462-593&428_246&464_241&372_588&336-0_0_0_21_24_27_25-105-122_ys_豫CPL2VF.jpg,豫CPL2VF,yellow_single,special_ccpd2019_base_cvreplace_v1__yellow_single,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,241.3,371.1,589.2,333.7,592.7,429.8,250.1,462.9,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0208692528736-86_92-276&396_515&479-504&469_294&487_291&411_501&393-0_0_29_31_27_29_26-107-46_ys_桂KUQBFK.jpg,桂KUQBFK,yellow_single,special_ccpd2019_base_cvreplace_v1__yellow_single,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,290.1,409.3,499.1,393.6,503.7,468.1,294.7,484.6,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/0269695881226-91_86-191&440_482&560-492&557_192&547_185&432_485&442-0_0_12_19_33_31_24-171-53_ys_辽Z6B5D4.jpg,辽Z6B5D4,yellow_single,special_ccpd2019_base_cvreplace_v1__yellow_single,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,187.4,430.3,486.2,443.6,491.6,557.5,192.5,546.2,obb_warp,letterbox,nn,none,bgr,0.0
datasets/special_ccpd2019_base_cvreplace_v1_20260526/images/train/016725335249-90_85-329&483_576&549-569&549_338&550_335&478_566&477-0_0_18_12_33_24_32-94-82_ys_浙SWJRJU.jpg,浙SWJRJU,yellow_single,special_ccpd2019_base_cvreplace_v1__yellow_single,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,333.8,477.3,565.2,477.0,566.2,549.2,336.3,550.6,obb_warp,letterbox,nn,none,bgr,0.0
